epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2777.59,1.11583,0.77468,1.36591,0.95276,0.97925,0.98158,0.55577,1.61765,0.53885,2.05446,0.000580533,0.000580533,0.000580533
81,2811.99,1.11661,0.78412,1.37594,0.95953,0.94849,0.97994,0.55338,1.65721,0.54725,2.09772,0.00056678,0.00056678,0.00056678
82,2846.45,1.07808,0.74926,1.33734,0.96308,0.95013,0.97471,0.55487,1.58666,0.52898,2.06359,0.000553027,0.000553027,0.000553027
83,2880.93,1.10481,0.75893,1.35789,0.95031,0.97249,0.98076,0.55997,1.61998,0.54207,2.04835,0.000539275,0.000539275,0.000539275
84,2915.25,1.07481,0.74826,1.34146,0.96918,0.94812,0.98009,0.55591,1.64774,0.54582,2.13459,0.000525522,0.000525522,0.000525522
85,2949.68,1.06394,0.72719,1.33008,0.97402,0.9773,0.98448,0.55978,1.67125,0.52259,2.157,0.000511769,0.000511769,0.000511769
86,2984.05,1.06662,0.726,1.33548,0.9676,0.98962,0.98862,0.57217,1.6312,0.54676,2.11311,0.000498016,0.000498016,0.000498016
87,3018.87,1.06876,0.71204,1.33492,0.95192,0.97887,0.98325,0.55902,1.63624,0.55819,2.1138,0.000484263,0.000484263,0.000484263
88,3053.42,1.06562,0.72628,1.3261,0.96937,0.97349,0.98451,0.55651,1.68943,0.55457,2.23182,0.000470511,0.000470511,0.000470511
89,3087.97,1.06454,0.73154,1.32998,0.96508,0.97292,0.97549,0.55738,1.63339,0.57421,2.12889,0.000456758,0.000456758,0.000456758
90,3122.7,1.04409,0.73063,1.32042,0.95103,0.97925,0.98089,0.57545,1.64574,0.57179,2.1281,0.000443005,0.000443005,0.000443005
91,3157.18,1.05761,0.72777,1.32665,0.96925,0.96878,0.98525,0.57293,1.64994,0.55981,2.12201,0.000429253,0.000429253,0.000429253
92,3191.65,1.01873,0.69407,1.30146,0.98399,0.98425,0.98692,0.55592,1.61617,0.55133,2.09848,0.0004155,0.0004155,0.0004155
93,3226.17,1.02883,0.70574,1.30723,0.96678,0.97387,0.98674,0.5617,1.56465,0.53367,2.03925,0.000401747,0.000401747,0.000401747
94,3260.52,1.02372,0.70712,1.30346,0.96062,0.97702,0.98218,0.55748,1.64557,0.54112,2.15064,0.000387994,0.000387994,0.000387994
95,3295.06,1.04095,0.71467,1.31393,0.97235,0.97662,0.98316,0.55758,1.60291,0.53163,2.09774,0.000374242,0.000374242,0.000374242
96,3329.54,1.0235,0.7086,1.30386,0.96625,0.97212,0.98654,0.56187,1.58096,0.51444,2.07299,0.000360489,0.000360489,0.000360489
97,3363.97,1.00897,0.69807,1.29745,0.95001,0.97925,0.98453,0.56555,1.57391,0.52302,2.07358,0.000346736,0.000346736,0.000346736
98,3398.33,1.0071,0.68032,1.30462,0.96717,0.98943,0.98733,0.56023,1.60997,0.52643,2.08478,0.000332983,0.000332983,0.000332983
99,3432.7,1.00835,0.67996,1.29937,0.95772,0.98425,0.98489,0.57036,1.63097,0.53472,2.15858,0.000319231,0.000319231,0.000319231
100,3467.08,0.99995,0.67455,1.28745,0.96876,0.97619,0.98441,0.56802,1.62808,0.55467,2.13503,0.000305478,0.000305478,0.000305478
101,3501.89,0.99388,0.69526,1.29475,0.95001,0.98962,0.98602,0.55932,1.65114,0.57094,2.20114,0.000291725,0.000291725,0.000291725
102,3536.48,0.98415,0.68511,1.28704,0.957,0.97349,0.98055,0.5523,1.6445,0.55732,2.19807,0.000277972,0.000277972,0.000277972
103,3570.94,0.99076,0.68412,1.28562,0.95844,0.97753,0.9848,0.56557,1.63654,0.55523,2.15464,0.00026422,0.00026422,0.00026422
104,3605.53,0.97423,0.66056,1.27778,0.94931,0.98238,0.98024,0.56667,1.64826,0.5884,2.21118,0.000250467,0.000250467,0.000250467
105,3639.87,0.97078,0.66148,1.2721,0.94585,0.98396,0.9778,0.55818,1.62241,0.56307,2.16865,0.000236714,0.000236714,0.000236714
106,3674.19,0.96945,0.66826,1.27107,0.95867,0.96885,0.98311,0.56145,1.60794,0.53982,2.14571,0.000222961,0.000222961,0.000222961
107,3708.7,0.97992,0.66964,1.27596,0.96965,0.98425,0.98706,0.56978,1.61714,0.55539,2.1693,0.000209209,0.000209209,0.000209209
108,3743.13,0.96265,0.66405,1.27153,0.95887,0.98425,0.98695,0.56653,1.61521,0.54235,2.15937,0.000195456,0.000195456,0.000195456
